epoch,error,weights
209,6,"[-5.400000000000002, 10.12000000000005, -11.359999999999735, -4.460000000000022, -12.119999999999973]"
210,6,"[-5.400000000000002, 10.18000000000005, -11.399999999999734, -4.500000000000023, -12.219999999999972]"
211,6,"[-5.400000000000002, 10.240000000000048, -11.439999999999733, -4.540000000000024, -12.319999999999972]"
212,6,"[-5.400000000000002, 10.300000000000047, -11.479999999999732, -4.580000000000025, -12.419999999999972]"
213,6,"[-5.400000000000002, 10.260000000000046, -11.519999999999731, -4.7600000000000255, -12.519999999999971]"
214,6,"[-5.400000000000002, 10.420000000000046, -11.43999999999973, -4.620000000000026, -12.499999999999972]"
215,6,"[-5.400000000000002, 10.560000000000047, -11.419999999999728, -4.540000000000027, -12.57999999999997]"
216,6,"[-5.400000000000002, 10.700000000000047, -11.399999999999727, -4.4600000000000275, -12.659999999999968]"
217,7,"[-5.600000000000002, 9.920000000000048, -11.859999999999724, -4.600000000000027, -12.719999999999969]"
218,6,"[-5.600000000000002, 10.18000000000005, -11.639999999999722, -4.600000000000027, -12.799999999999969]"
219,6,"[-5.600000000000002, 10.460000000000049, -11.55999999999972, -4.480000000000028, -12.859999999999967]"
220,6,"[-5.600000000000002, 10.52000000000005, -11.599999999999719, -4.520000000000028, -12.959999999999967]"
221,6,"[-5.600000000000002, 10.580000000000048, -11.639999999999718, -4.560000000000029, -13.059999999999967]"
222,6,"[-5.600000000000002, 10.640000000000047, -11.679999999999717, -4.60000000000003, -13.159999999999966]"
223,6,"[-5.600000000000002, 10.600000000000046, -11.719999999999716, -4.7800000000000304, -13.259999999999966]"
224,6,"[-5.600000000000002, 10.760000000000046, -11.639999999999715, -4.640000000000031, -13.239999999999966]"
225,6,"[-5.600000000000002, 10.900000000000047, -11.619999999999713, -4.560000000000032, -13.319999999999965]"
226,7,"[-5.8000000000000025, 10.180000000000046, -12.059999999999713, -4.640000000000032, -13.319999999999965]"
227,6,"[-5.8000000000000025, 10.640000000000047, -11.71999999999971, -4.320000000000032, -13.279999999999966]"
228,6,"[-5.8000000000000025, 10.780000000000046, -11.699999999999708, -4.240000000000033, -13.359999999999964]"
229,6,"[-5.8000000000000025, 10.920000000000046, -11.679999999999707, -4.160000000000034, -13.439999999999962]"
230,7,"[-6.000000000000003, 10.140000000000047, -12.139999999999704, -4.3000000000000345, -13.499999999999963]"
231,6,"[-6.000000000000003, 10.600000000000048, -11.7999999999997, -3.9800000000000346, -13.459999999999964]"
232,6,"[-6.000000000000003, 10.740000000000046, -11.7799999999997, -3.900000000000035, -13.539999999999962]"
233,6,"[-6.000000000000003, 10.940000000000047, -11.719999999999697, -3.7600000000000358, -13.559999999999961]"
234,7,"[-6.200000000000003, 10.380000000000049, -12.079999999999695, -3.7200000000000357, -13.559999999999961]"
235,6,"[-6.200000000000003, 10.440000000000047, -12.119999999999694, -3.7600000000000358, -13.659999999999961]"
236,6,"[-6.200000000000003, 10.500000000000046, -12.159999999999693, -3.800000000000036, -13.75999999999996]"
237,6,"[-6.200000000000003, 10.560000000000045, -12.199999999999692, -3.840000000000036, -13.85999999999996]"
238,6,"[-6.200000000000003, 10.620000000000044, -12.239999999999691, -3.880000000000036, -13.95999999999996]"
239,6,"[-6.200000000000003, 10.780000000000042, -12.15999999999969, -3.740000000000036, -13.93999999999996]"
240,6,"[-6.200000000000003, 10.920000000000043, -12.139999999999688, -3.6600000000000366, -14.019999999999959]"
241,6,"[-6.200000000000003, 11.120000000000044, -12.079999999999686, -3.520000000000037, -14.039999999999958]"
242,7,"[-6.400000000000003, 10.560000000000045, -12.439999999999683, -3.4800000000000373, -14.039999999999958]"
243,6,"[-6.400000000000003, 10.620000000000044, -12.479999999999682, -3.5200000000000373, -14.139999999999958]"
244,6,"[-6.400000000000003, 10.680000000000042, -12.519999999999682, -3.5600000000000374, -14.239999999999958]"
245,6,"[-6.400000000000003, 10.740000000000041, -12.55999999999968, -3.6000000000000374, -14.339999999999957]"
246,6,"[-6.400000000000003, 10.80000000000004, -12.59999999999968, -3.6400000000000374, -14.439999999999957]"
247,6,"[-6.400000000000003, 10.960000000000038, -12.519999999999678, -3.5000000000000377, -14.419999999999957]"
248,6,"[-6.400000000000003, 11.100000000000039, -12.499999999999677, -3.420000000000038, -14.499999999999956]"
249,6,"[-6.400000000000003, 11.30000000000004, -12.439999999999674, -3.2800000000000384, -14.519999999999955]"
250,7,"[-6.600000000000003, 10.740000000000041, -12.799999999999672, -3.240000000000039, -14.519999999999955]"
251,6,"[-6.600000000000003, 10.80000000000004, -12.839999999999671, -3.280000000000039, -14.619999999999955]"
252,6,"[-6.600000000000003, 10.860000000000039, -12.87999999999967, -3.320000000000039, -14.719999999999954]"
253,6,"[-6.600000000000003, 10.920000000000037, -12.91999999999967, -3.360000000000039, -14.819999999999954]"
254,6,"[-6.600000000000003, 10.980000000000036, -12.959999999999669, -3.400000000000039, -14.919999999999954]"
255,6,"[-6.600000000000003, 11.140000000000034, -12.879999999999667, -3.2600000000000393, -14.899999999999954]"
256,6,"[-6.600000000000003, 11.280000000000035, -12.859999999999665, -3.1800000000000397, -14.979999999999952]"
257,6,"[-6.600000000000003, 11.480000000000036, -12.799999999999663, -3.04000000000004, -14.999999999999952]"
258,7,"[-6.800000000000003, 10.960000000000036, -13.05999999999966, -3.0000000000000404, -14.999999999999952]"
259,6,"[-6.800000000000003, 11.020000000000035, -13.099999999999659, -3.040000000000041, -15.099999999999952]"
260,6,"[-6.800000000000003, 11.080000000000034, -13.139999999999658, -3.080000000000041, -15.199999999999951]"
261,6,"[-6.800000000000003, 11.140000000000033, -13.179999999999657, -3.120000000000041, -15.299999999999951]"
262,6,"[-6.800000000000003, 11.200000000000031, -13.219999999999656, -3.160000000000041, -15.39999999999995]"
263,6,"[-6.800000000000003, 11.26000000000003, -13.259999999999655, -3.2000000000000415, -15.49999999999995]"
264,6,"[-6.800000000000003, 11.320000000000029, -13.299999999999654, -3.2400000000000415, -15.59999999999995]"
